seq,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,y
24714,43,blue-collar,divorced,basic.9y,no,yes,no,telephone,may,fri,169,3,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
24715,42,services,married,high.school,no,no,no,telephone,jun,fri,55,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0
24716,34,admin.,married,high.school,no,no,no,cellular,may,wed,191,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.334,5099.1,0
24717,47,management,married,university.degree,no,yes,no,cellular,jun,mon,352,1,999,0,nonexistent,-2.9,92.963,-40.8,1.266,5076.2,0
24718,50,management,married,professional.course,unknown,no,no,cellular,aug,wed,165,4,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,0
24719,34,technician,single,university.degree,no,no,no,cellular,may,fri,162,2,999,1,failure,-1.8,92.89299999999999,-46.2,1.25,5099.1,0
24720,34,student,single,unknown,no,yes,no,cellular,nov,thu,180,1,999,2,failure,-1.1,94.76700000000001,-50.8,1.031,4963.6,0
24721,30,admin.,married,high.school,no,no,no,telephone,jun,thu,162,3,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0
24722,30,admin.,married,university.degree,no,unknown,unknown,cellular,apr,thu,308,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,0
24723,35,blue-collar,married,basic.6y,no,yes,no,telephone,jun,thu,64,6,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,0
24724,36,services,married,high.school,unknown,no,no,telephone,may,tue,318,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
24725,57,blue-collar,married,basic.9y,unknown,yes,no,cellular,jul,tue,579,4,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,0
24726,60,management,married,university.degree,no,yes,yes,telephone,sep,thu,225,1,999,0,nonexistent,-3.4,92.37899999999999,-29.8,0.809,5017.5,0
24727,50,admin.,married,basic.9y,no,no,no,cellular,nov,thu,315,3,999,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0
24728,47,admin.,single,high.school,no,no,no,cellular,may,mon,1114,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,0
24729,29,technician,single,professional.course,no,yes,no,cellular,jul,thu,150,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.968,5228.1,0
24730,43,blue-collar,married,basic.4y,unknown,no,no,telephone,jun,thu,287,1,999,0,nonexistent,1.4,94.465,-41.8,4.8660000000000005,5228.1,0
24731,27,technician,married,professional.course,no,yes,no,cellular,jul,mon,634,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,0
24732,26,admin.,married,high.school,no,no,no,cellular,jul,thu,544,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,0
24733,59,admin.,married,high.school,no,yes,no,telephone,may,thu,285,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,0
24734,57,retired,married,basic.4y,no,yes,no,telephone,aug,mon,96,1,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,0
24735,25,services,single,basic.9y,no,no,no,telephone,jul,wed,350,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,0
24736,33,admin.,married,university.degree,no,yes,no,cellular,may,thu,167,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.266,5099.1,0
24737,36,management,married,university.degree,no,yes,no,cellular,aug,mon,99,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
24738,53,housemaid,married,basic.4y,no,yes,no,cellular,sep,fri,129,2,999,0,nonexistent,-3.4,92.37899999999999,-29.8,0.773,5017.5,0
24739,33,blue-collar,single,basic.9y,no,yes,no,telephone,jun,wed,18,1,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,0
