top,bookname,click,info,label,type
1,灭世武修,87783685,"一条枷锁，链住万千星域。
一颗心脏，沉浮黎明破晓。
……
……
无数位面大陆，宗门林立，站在绝巅者，可笑苍天，瞰大地。本是一代神体，却得灭世传承，是沉沦杀戮，还是走上巅峰之道？
且看乌恒如何抉择……
……
灭世武修交流群1：272221989
灭世武修交流群2：221073363
微...
灭世武修是作者""天上无鱼""倾力创作的玄幻小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
","奇遇,热血,帝王,炼丹",玄幻
2,大地兽皇,30001480,"一个被遗弃在森林中的孩子却遇到了一个刚刚失去孩子的大地之熊，由此，却诞生了一个蛮荒界有史以来最强的武者，大地兽皇！
“我没有沟通元素的天赋，不能修炼各种元素之力，可是，我知道，我并不孤单！因为，脚下的这片广阔的大地才是我最大的依靠！”叶天荒说道。
大地兽皇是作者""小怪""倾力创作的玄幻小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
","热血,奇遇,扮猪吃老虎,神兽,爽文",玄幻
3,万古魔尊,6572039,"少女淡淡的却带着刺的话使少年走上了一条王者之路。
一颗魔心能包容万物，亦能笑傲天地，主宰万物。
一双手化为枷锁，困住万个世界。
一双腿，脚踏大地，令之颤抖。
一双眼，射出万丈冰冷光芒。
何其最强者，我便是最强者！

万古魔尊是作者""天狼""倾力创作的玄幻小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
","斗智,热血,爽文",玄幻
4,百炼神体,3999094,"从一个平凡的吃货，无意间发现了自己特殊的能力，从此走上了一条不归的吃货之路……
一息若存，希望不灭。
身怀饕餮体的吴天，开始了他的征程，开始了迎接一个又一个的挑战。
问鼎之路，何其困难，无边杀戮，蔓延而来。
且看，他如何克服重重困难，《吞天噬地决》，君临天下！金刚之身，问鼎苍穹！
百炼神体是作者""血雾遮天""倾力创作的玄幻小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
",暂无,玄幻
5,上古神王,3787718,"异域世界，上古巨魔横行，神界为此而破碎，仙界变得混乱不堪。武道强者称霸天下，为帝，为尊，一念万骨枯，一剑沧海平，左右亿万生灵命运！
废柴少年无意中打开家传信物雷神戒，从此走向了修真之路，随着他的一步步强大，弄清自己的身世之谜。却发现了一个惊世之密！
当传承无上太古之秘的九幽龙印觉醒，昔日废物变身天才，战八荒，御苍穹，一步一步踏上武道巅峰！成就上古神王。

上古神王是作者""木杉树""倾力创作的玄幻小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
","争霸,热血,暧昧,奇遇,炼丹",玄幻
6,七界仙尊,11490632,"破碎苍穹，凌渡虚空，九天七界，任我逍遥；以血之途，杀出一条仙道之路，无尽的神通，无穷的责任，三千仙道，谁主浮沉？且看斗战圣族的传承者如何依靠至尊瞳术，超越无数至强血脉，蕴生至尊神体，超脱轮回，永生不死，成就大道，统御七界……

七界仙尊是作者""无良书生""倾力创作的玄幻小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
","废材,扮猪吃老虎,热血,奇遇",玄幻
7,纵横天下,9204553,"十五年前，一只万里磅礴的吞天兽，降临肆虐纵横大陆中州，被绝世强者封印到一个婴儿的丹田里；十五年后，一次亡命追杀被迫跳崖的叶天，吞天兽轰然出现，并最终脱险修成上古第一圣法吞天圣诀，从此一步步走向强大，逐渐揭穿身世之谜，搅动惊天秘密，力挽狂澜，拯救天下苍生。
纵横天下是作者""雕虫""倾力创作的玄幻小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
","奇遇,废材,扮猪吃老虎",玄幻
8,天武星辰,2720895,"这是一个强者为尊的世界！这是一个武力至上的世界！这是一个脉术称雄的世界！
华夏帝国猎鹰特别突击队！为运送一批国宝，赶往境外！但是一在回来途中！被敌人的导弹袭击，队长为了掩其余队员撤退而牺牲。但是却被国宝中一枚奇异的戒指带到了一个名为天元大陆的地方！
因为他的到来！平静万年的大陆再次风起云涌！高手层出不穷！
且看他如何凭借自己的一腔热血站立在大陆的巅峰！
天武星辰是作者""梦入李唐""倾力创作的玄幻小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
","重生,争霸,热血,奇遇",玄幻
9,龙游苍穹,2239519,"少年游龙，身世隐秘；十年隐忍，从未放弃！
战雷家，解镇危，出蟠龙，创龙盟，坚毅少年闯天下！
探黑石，进圣光，怀苍生，建帝国，痴情少年有傲魂！
脚踏九州，声振寰宇；九鼎齐聚，龙游苍穹。
邪魔来袭生灵毁，守护之战惊天地！
经此一役，幸存万民皆呼己为：龙的传人！

龙游苍穹是作者""流风回雪""倾力创作的玄幻小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
","热血,搞笑,浪漫",玄幻
10,龙魂战神,1699569,"一个从埋龙之地爬出来的少年，意外获得绝世龙魂之体。
至此，横行无忌；雄霸天下；败尽英雄；翻掌之间，天地色变。
他是一个传说，一个永恒不朽的传说。

龙魂战神是作者""龙青玄""倾力创作的玄幻小说,在恒言中文网首发,提供最新章节无弹窗广告阅读,请支持原创正版。
粤ICP备20022615号-1
桂B2-20130025
提供都市小说、言情小说等好看的小说在线阅读，最新小说免费下载
Copyright©2014 www.hengyan.com All Rights Reserved
","热血,扮猪吃老虎",玄幻
