title,provide_salary,company_type,company_size,company_ind,area,experience,education,number,min_wage,max_wage,avg_wage
大数据开发高级工程师,0,国企,1000-5000人,通信/电信/网络设备,武汉-江岸区,5-7年经验,本科,招1人,0.0,0.0,0.0
大数据工程师（共享平台&数据智能部门）,20-35万/年,国企,5000-10000人,保险,上海-徐汇区,3-4年经验,本科,招若干人,1.7,2.9,2.3
大数据安全技术专家,3-8万/月,民营公司,10000人以上,互联网/电子商务,杭州,无需经验,本科,招10人,3.0,8.0,5.5
Java开发工程师(大数据平台方向),0,民营公司,1000-5000人,计算机软件,上海-浦东新区,3-4年经验,本科,招1人,0.0,0.0,0.0
大数据开发工程师,1.5-2万/月,外资（非欧美）,暂无,专业服务(咨询、人力资源、财会),上海,无需经验,硕士,招若干人,1.5,2.0,1.8
大数据开发-SPG,20-30万/年,国企,1000-5000人,保险,上海-徐汇区,5-7年经验,本科,招若干人,1.7,2.5,2.1
大数据开发工程师(J11768),1-1.5万/月,外资（欧美）,1000-5000人,服装/纺织/皮革,广州,3-4年经验,大专,招1人,1.0,1.5,1.2
软件工程师（大数据）,1.5-2.5万/月,国企,1000-5000人,计算机软件,异地招聘,2年经验,本科,招4人,1.5,2.5,2.0
大数据工程师,1.6-1.8万/月,民营公司,10000人以上,计算机软件,深圳,1年经验,本科,招2人,1.6,1.8,1.7
大数据开发工程师,1.5-2万/月,事业单位,1000-5000人,计算机软件,武汉,1年经验,硕士,招5人,1.5,2.0,1.8
大数据开发工程师,1.5-2.1万/月,国企,10000人以上,计算机软件,深圳-福田区,2年经验,大专,招3人,1.5,2.1,1.8
大数据应用架构师-上海(J10514),2-4万/月,国企,10000人以上,金融/投资/证券,上海,5-7年经验,本科,招1人,2.0,4.0,3.0
大数据架构师,2.5-3万/月,上市公司,150-500人,计算机服务(系统、数据服务、维修),北京-海淀区,5-7年经验,本科,招3人,2.5,3.0,2.8
大数据开发工程师（工具）,1-2.5万/月,民营公司,150-500人,通信/电信/网络设备,西安-高新技术产业开发区,3-4年经验,本科,招3人,1.0,2.5,1.8
大数据开发工程师,0.8-1.5万/月,民营公司,50-150人,计算机软件,重庆-渝北区,1年经验,本科,招1人,0.8,1.5,1.1
大数据开发工程师,1-2万/月,上市公司,150-500人,计算机软件,北京,2年经验,本科,招2人,1.0,2.0,1.5
Java开发工程师（大数据方向）,1.2-1.8万/月,民营公司,50-150人,互联网/电子商务,上海-浦东新区,3-4年经验,大专,招3人,1.2,1.8,1.5
大数据ETL开发工程师,1-1.5万/月,民营公司,150-500人,计算机软件,上海-浦东新区,2年经验,本科,招若干人,1.0,1.5,1.2
大数据研发工程师,1-1.5万/月,民营公司,50-150人,计算机软件,苏州-工业园区,2年经验,本科,招2人,1.0,1.5,1.2
大数据架构师,3-4万/月,外资（非欧美）,500-1000人,互联网/电子商务,深圳-南山区,5-7年经验,本科,招1人,3.0,4.0,3.5
大数据开发工程师,6-8千/月,民营公司,少于50人,计算机服务(系统、数据服务、维修),武汉-洪山区,1年经验,大专,招1人,0.6,0.8,0.7
大数据工程师,1.5-2万/月,外资（欧美）,500-1000人,计算机软件,北京,2年经验,暂无,招1人,1.5,2.0,1.8
大数据开发工程师,0.8-1.3万/月,国企,150-500人,计算机服务(系统、数据服务、维修),武汉,2年经验,本科,招若干人,0.8,1.3,1.1
大数据开发工程师,1.5-2万/月,外资（欧美）,50-150人,计算机软件,上海-浦东新区,3-4年经验,本科,招2人,1.5,2.0,1.8
大数据BI高级开发工程师04,2.5-3.5万/月,民营公司,150-500人,快速消费品(食品、饮料、化妆品),上海-徐汇区,3-4年经验,本科,招若干人,2.5,3.5,3.0
大数据开发工程师,1.5-2万/月,国企,少于50人,互联网/电子商务,深圳-龙岗区,3-4年经验,本科,招若干人,1.5,2.0,1.8
大数据开发工程师,0.8-1.5万/月,民营公司,50-150人,计算机软件,南京-鼓楼区,2年经验,本科,招若干人,0.8,1.5,1.1
大数据软件工程师（Java）,1.5-2.5万/月,民营公司,50-150人,计算机软件,上海-浦东新区,2年经验,本科,招3人,1.5,2.5,2.0
大数据开发工程师,1-2万/月,民营公司,暂无,计算机软件,昆明-西山区,3-4年经验,大专,招3人,1.0,2.0,1.5
