title,provide_salary,company_type,company_size,company_ind,attribute
运营商BU-高级大数据推荐算法工程师-广州,2-3.5万/月,上市公司,1000-5000人,计算机软件,"['广州-越秀区', '5-7年经验', '本科', '招若干人']"
大数据开发工程师,1.5-3万/月,国企,,快速消费品(食品、饮料、化妆品),"['杭州-滨江区', '5-7年经验', '本科', '招若干人']"
大数据开发工程师,1.1-1.8万/月,上市公司,1000-5000人,通信/电信/网络设备,"['南京-建邺区', '3-4年经验', '本科', '招若干人']"
大数据开发助理+五险一金,7-9千/月,民营公司,50-150人,计算机服务(系统、数据服务、维修),"['深圳-龙华区', '1年经验', '大专', '招若干人']"
产品开发类-大数据开发(A1-2),,事业单位,,计算机服务(系统、数据服务、维修),"['南京', '无需经验', '硕士', '招若干人']"
Java开发工程师（大数据方向）,1.2-2.1万/月,民营公司,50-150人,互联网/电子商务,"['上海-浦东新区', '3-4年经验', '本科', '招3人']"
成都研发-大数据应用平台架构师,3-3.9万/月,上市公司,10000人以上,互联网/电子商务,"['成都-锦江区', '5-7年经验', '招1人']"
资深大数据研发工程师 — 数据治理方向,3-6万/月,民营公司,10000人以上,互联网/电子商务,"['北京', '无需经验', '本科', '招3人']"
中级/高级大数据开发工程师,2-3万/月,合资,10000人以上,计算机软件,"['上海-徐汇区', '10年以上经验', '本科', '招10人']"
大数据架构师,1-1.5万/月,上市公司,1000-5000人,新能源,"['异地招聘', '3-4年经验', '大专', '招1人']"
大数据架构师 (MJ000430),2.5-4.5万/月,上市公司,500-1000人,互联网/电子商务,"['深圳-南山区', '5-7年经验', '本科', '招2人']"
大数据开发工程师,1-1.5万/月,民营公司,,通信/电信/网络设备,"['西安-高新技术产业开发区', '3-4年经验', '大专', '招2人']"
大数据工程师助理6K+,0.8-1万/月,民营公司,,计算机软件,"['深圳-宝安区', '无需经验', '本科', '招2人']"
大数据业务后端支撑工程师,5-6千/月,民营公司,50-150人,计算机软件,"['常州-武进区', '2年经验', '大专', '招2人']"
大数据开发工程师(J12553),1.2-2万/月,合资,1000-5000人,计算机软件,"['杭州-西湖区', '3-4年经验', '本科', '招2人']"
大数据架构师,15-20万/年,国企,50-150人,计算机软件,"['异地招聘', '5-7年经验', '本科', '招1人']"
大数据开发工程师,2-2.5万/月,民营公司,500-1000人,计算机软件,"['南京-江宁区', '3-4年经验', '本科', '招7人']"
大数据开发工程师,1.2-2万/月,民营公司,5000-10000人,计算机软件,"['南京-江宁区', '3-4年经验', '本科', '招若干人']"
大数据开发工程师,4.5-6千/月,民营公司,少于50人,电子技术/半导体/集成电路,"['成都-锦江区', '1年经验', '大专', '招若干人']"
大数据工程师,20-30万/年,国企,1000-5000人,汽车,"['上海', '5-7年经验', '本科', '招1人']"
大数据应用项目经理,2-3万/月,民营公司,50-150人,通信/电信/网络设备,"['广州-黄埔区', '5-7年经验', '本科', '招若干人']"
大数据开发工程师（外派连通）,1-1.8万/月,合资,1000-5000人,计算机软件,"['上海-虹口区', '3-4年经验', '本科', '招3人']"
大数据开发工程师（JR1bp）(J11842),0.8-1.6万/月,上市公司,5000-10000人,计算机软件,"['北京', '2年经验', '本科', '招10人']"
大数据开发工程师,1-1.5万/月,国企,1000-5000人,通信/电信/网络设备,"['上海', '2年经验', '本科', '招1人']"
大数据开发工程师,15-25万/年,民营公司,50-150人,计算机软件,"['成都-高新区', '3-4年经验', '本科', '招1人']"
大数据开发工程师,1.2-2万/月,民营公司,10000人以上,计算机软件,"['异地招聘', '3-4年经验', '大专', '招若干人']"
大数据开发工程师,0.9-1.4万/月,民营公司,5000-10000人,餐饮业,"['成都-武侯区', '3-4年经验', '本科', '招1人']"
大数据开发工程师,1-1.5万/月,国企,1000-5000人,通信/电信/网络设备,"['济南', '2年经验', '本科', '招若干人']"
大数据开发工程师,1.7-1.9万/月,外资（欧美）,1000-5000人,计算机软件,"['深圳-南山区', '3-4年经验', '本科', '招5人']"
大数据工程师,0.6-1万/月,民营公司,50-150人,仪器仪表/工业自动化,"['武汉-东湖新技术产业开发区', '无需经验', '硕士', '招2人']"
Java大数据开发工程师,12-20万/年,民营公司,,制药/生物工程,"['成都-郫都区', '1年经验', '本科', '招1人']"
大数据开发工程师 武大茶港门 双休,0.9-1.3万/月,上市公司,150-500人,计算机服务(系统、数据服务、维修),"['武汉-武昌区', '3-4年经验', '本科', '招4人']"
深度学习大数据工程师  深圳北站双休,1.5-2万/月,民营公司,150-500人,仪器仪表/工业自动化,"['深圳-龙华区', '3-4年经验', '硕士', '招2人']"
大数据研发工程师,2-2.5万/月,民营公司,50-150人,计算机软件,"['杭州-滨江区', '5-7年经验', '本科', '招若干人']"
大数据开发工程师,1.5-3万/月,民营公司,500-1000人,互联网/电子商务,"['广州-白云区', '3-4年经验', '本科', '招1人']"
大数据工程师助理+包住,0.7-1万/月,民营公司,50-150人,计算机服务(系统、数据服务、维修),"['深圳-宝安区', '1年经验', '大专', '招若干人']"
大数据开发工程师,2.5-3万/月,民营公司,,通信/电信/网络设备,"['广州', '本科', '招若干人']"
大数据开发工程师（平台研发）,1-2.5万/月,民营公司,1000-5000人,计算机软件,"['济南-高新区', '3-4年经验', '本科', '招2人']"
